Store|Product|Date|Sales USD|Sales Qty
1001|UPC0-Description-0|Latest Week Ending 2021-11-09|0.15|1
1001|UPC0-Description-0|Latest Week Ending 2021-11-02|0.44999999999999996|3
1001|UPC0-Description-0|Latest Week Ending 2021-10-26|0.3|2
1001|UPC0-Description-0|Latest Week Ending 2021-10-19|0.44999999999999996|3
1001|UPC0-Description-0|Latest Week Ending 2021-10-12|0.3|2
1001|UPC1-Description-1|Latest Week Ending 2021-10-26|4.74|3
1001|UPC1-Description-1|Latest Week Ending 2021-10-19|6.32|4
1001|UPC1-Description-1|Latest Week Ending 2021-10-12|4.74|3
1001|UPC2-Description-2|Latest Week Ending 2021-11-09|0.66|1
1001|UPC2-Description-2|Latest Week Ending 2021-11-02|1.98|3
1001|UPC2-Description-2|Latest Week Ending 2021-10-26|0.66|1
1001|UPC2-Description-2|Latest Week Ending 2021-10-12|1.98|3
1001|UPC3-Description-3|Latest Week Ending 2021-11-09|5.46|3
1001|UPC3-Description-3|Latest Week Ending 2021-11-02|3.64|2
1001|UPC3-Description-3|Latest Week Ending 2021-10-26|5.46|3
1001|UPC4-Description-4|Latest Week Ending 2021-11-09|11.49|3
1001|UPC4-Description-4|Latest Week Ending 2021-10-26|3.83|1
1001|UPC4-Description-4|Latest Week Ending 2021-10-19|7.66|2
1001|UPC4-Description-4|Latest Week Ending 2021-10-12|15.32|4
1001|UPC5-Description-0|Latest Week Ending 2021-11-09|12.4|4
1001|UPC5-Description-0|Latest Week Ending 2021-11-02|3.1|1
1001|UPC5-Description-0|Latest Week Ending 2021-10-26|9.3|3
1001|UPC5-Description-0|Latest Week Ending 2021-10-19|3.1|1
1001|UPC6-Description-1|Latest Week Ending 2021-11-02|5.82|2
1001|UPC6-Description-1|Latest Week Ending 2021-10-26|5.82|2
1001|UPC6-Description-1|Latest Week Ending 2021-10-19|5.82|2
1001|UPC7-Description-2|Latest Week Ending 2021-11-02|15.059999999999999|3
1001|UPC7-Description-2|Latest Week Ending 2021-10-12|20.08|4
1001|UPC8-Description-3|Latest Week Ending 2021-11-09|31.24|4
1001|UPC8-Description-3|Latest Week Ending 2021-11-02|31.24|4
1001|UPC8-Description-3|Latest Week Ending 2021-10-26|7.81|1
1001|UPC8-Description-3|Latest Week Ending 2021-10-19|31.24|4
1001|UPC8-Description-3|Latest Week Ending 2021-10-12|7.81|1
1001|UPC9-Description-4|Latest Week Ending 2021-11-09|10.24|4
1001|UPC9-Description-4|Latest Week Ending 2021-11-02|5.12|2
1001|UPC9-Description-4|Latest Week Ending 2021-10-26|5.12|2
1001|UPC9-Description-4|Latest Week Ending 2021-10-19|10.24|4
1001|UPC9-Description-4|Latest Week Ending 2021-10-12|10.24|4
1002|UPC0-Description-0|Latest Week Ending 2021-11-09|0.6|4
1002|UPC0-Description-0|Latest Week Ending 2021-11-02|0.6|4
1002|UPC0-Description-0|Latest Week Ending 2021-10-26|0.15|1
1002|UPC0-Description-0|Latest Week Ending 2021-10-19|0.6|4
1002|UPC0-Description-0|Latest Week Ending 2021-10-12|0.15|1
1002|UPC1-Description-1|Latest Week Ending 2021-11-09|1.58|1
1002|UPC1-Description-1|Latest Week Ending 2021-11-02|3.16|2
1002|UPC1-Description-1|Latest Week Ending 2021-10-26|6.32|4
1002|UPC1-Description-1|Latest Week Ending 2021-10-19|4.74|3
1002|UPC1-Description-1|Latest Week Ending 2021-10-12|6.32|4
1002|UPC2-Description-2|Latest Week Ending 2021-11-09|1.98|3
1002|UPC2-Description-2|Latest Week Ending 2021-11-02|0.66|1
1002|UPC2-Description-2|Latest Week Ending 2021-10-26|0.66|1
1002|UPC2-Description-2|Latest Week Ending 2021-10-19|1.32|2
1002|UPC2-Description-2|Latest Week Ending 2021-10-12|0.66|1
1002|UPC3-Description-3|Latest Week Ending 2021-11-09|5.46|3
1002|UPC3-Description-3|Latest Week Ending 2021-11-02|7.28|4
1002|UPC3-Description-3|Latest Week Ending 2021-10-26|3.64|2
1002|UPC3-Description-3|Latest Week Ending 2021-10-12|1.82|1
1002|UPC4-Description-4|Latest Week Ending 2021-11-09|11.49|3
1002|UPC4-Description-4|Latest Week Ending 2021-11-02|3.83|1
1002|UPC4-Description-4|Latest Week Ending 2021-10-26|7.66|2
1002|UPC4-Description-4|Latest Week Ending 2021-10-19|3.83|1
1002|UPC4-Description-4|Latest Week Ending 2021-10-12|11.49|3
1002|UPC5-Description-0|Latest Week Ending 2021-11-09|9.3|3
1002|UPC5-Description-0|Latest Week Ending 2021-11-02|9.3|3
1002|UPC5-Description-0|Latest Week Ending 2021-10-26|12.4|4
1002|UPC5-Description-0|Latest Week Ending 2021-10-19|3.1|1
1002|UPC5-Description-0|Latest Week Ending 2021-10-12|3.1|1
1002|UPC6-Description-1|Latest Week Ending 2021-11-02|8.73|3
1002|UPC6-Description-1|Latest Week Ending 2021-10-19|2.91|1
1002|UPC6-Description-1|Latest Week Ending 2021-10-12|8.73|3
1002|UPC7-Description-2|Latest Week Ending 2021-11-09|10.04|2
1002|UPC7-Description-2|Latest Week Ending 2021-10-26|20.08|4
1002|UPC7-Description-2|Latest Week Ending 2021-10-19|10.04|2
1002|UPC7-Description-2|Latest Week Ending 2021-10-12|20.08|4
1002|UPC8-Description-3|Latest Week Ending 2021-11-09|15.62|2
1002|UPC8-Description-3|Latest Week Ending 2021-10-26|15.62|2
1002|UPC8-Description-3|Latest Week Ending 2021-10-12|15.62|2
1002|UPC9-Description-4|Latest Week Ending 2021-11-09|5.12|2
1002|UPC9-Description-4|Latest Week Ending 2021-11-02|10.24|4
1002|UPC9-Description-4|Latest Week Ending 2021-10-19|7.68|3
1002|UPC9-Description-4|Latest Week Ending 2021-10-12|7.68|3
1003|UPC0-Description-0|Latest Week Ending 2021-11-09|0.3|2
1003|UPC0-Description-0|Latest Week Ending 2021-11-02|0.3|2
1003|UPC0-Description-0|Latest Week Ending 2021-10-26|0.3|2
1003|UPC0-Description-0|Latest Week Ending 2021-10-19|0.15|1
1003|UPC0-Description-0|Latest Week Ending 2021-10-12|0.15|1
1003|UPC1-Description-1|Latest Week Ending 2021-11-09|4.74|3
1003|UPC1-Description-1|Latest Week Ending 2021-11-02|3.16|2
1003|UPC1-Description-1|Latest Week Ending 2021-10-26|6.32|4
1003|UPC1-Description-1|Latest Week Ending 2021-10-19|4.74|3
1003|UPC1-Description-1|Latest Week Ending 2021-10-12|1.58|1
1003|UPC2-Description-2|Latest Week Ending 2021-11-09|2.64|4
1003|UPC2-Description-2|Latest Week Ending 2021-10-26|2.64|4
1003|UPC2-Description-2|Latest Week Ending 2021-10-12|0.66|1
1003|UPC3-Description-3|Latest Week Ending 2021-11-09|7.28|4
1003|UPC3-Description-3|Latest Week Ending 2021-11-02|3.64|2
1003|UPC3-Description-3|Latest Week Ending 2021-10-26|1.82|1
1003|UPC3-Description-3|Latest Week Ending 2021-10-19|7.28|4
1003|UPC3-Description-3|Latest Week Ending 2021-10-12|7.28|4
1003|UPC4-Description-4|Latest Week Ending 2021-11-09|11.49|3
1003|UPC4-Description-4|Latest Week Ending 2021-11-02|15.32|4
1003|UPC4-Description-4|Latest Week Ending 2021-10-26|3.83|1
1003|UPC4-Description-4|Latest Week Ending 2021-10-19|11.49|3
1003|UPC4-Description-4|Latest Week Ending 2021-10-12|7.66|2
1003|UPC5-Description-0|Latest Week Ending 2021-11-09|3.1|1
1003|UPC5-Description-0|Latest Week Ending 2021-11-02|6.2|2
1003|UPC5-Description-0|Latest Week Ending 2021-10-26|9.3|3
1003|UPC5-Description-0|Latest Week Ending 2021-10-12|6.2|2
1003|UPC6-Description-1|Latest Week Ending 2021-11-09|8.73|3
1003|UPC6-Description-1|Latest Week Ending 2021-11-02|2.91|1
1003|UPC6-Description-1|Latest Week Ending 2021-10-26|8.73|3
1003|UPC6-Description-1|Latest Week Ending 2021-10-19|8.73|3
1003|UPC6-Description-1|Latest Week Ending 2021-10-12|11.64|4
1003|UPC7-Description-2|Latest Week Ending 2021-11-09|10.04|2
1003|UPC7-Description-2|Latest Week Ending 2021-11-02|15.059999999999999|3
1003|UPC7-Description-2|Latest Week Ending 2021-10-19|15.059999999999999|3
1003|UPC7-Description-2|Latest Week Ending 2021-10-12|5.02|1
1003|UPC8-Description-3|Latest Week Ending 2021-11-09|7.81|1
1003|UPC8-Description-3|Latest Week Ending 2021-11-02|31.24|4
1003|UPC8-Description-3|Latest Week Ending 2021-10-26|31.24|4
1003|UPC8-Description-3|Latest Week Ending 2021-10-12|23.43|3
1003|UPC9-Description-4|Latest Week Ending 2021-11-09|5.12|2
1003|UPC9-Description-4|Latest Week Ending 2021-10-26|7.68|3
1003|UPC9-Description-4|Latest Week Ending 2021-10-12|10.24|4
1004|UPC0-Description-0|Latest Week Ending 2021-11-09|0.44999999999999996|3
1004|UPC0-Description-0|Latest Week Ending 2021-11-02|0.3|2
1004|UPC0-Description-0|Latest Week Ending 2021-10-26|0.3|2
1004|UPC0-Description-0|Latest Week Ending 2021-10-19|0.44999999999999996|3
1004|UPC0-Description-0|Latest Week Ending 2021-10-12|0.6|4
1004|UPC1-Description-1|Latest Week Ending 2021-11-02|4.74|3
1004|UPC1-Description-1|Latest Week Ending 2021-10-26|1.58|1
1004|UPC2-Description-2|Latest Week Ending 2021-11-09|0.66|1
1004|UPC2-Description-2|Latest Week Ending 2021-11-02|2.64|4
1004|UPC2-Description-2|Latest Week Ending 2021-10-19|2.64|4
1004|UPC2-Description-2|Latest Week Ending 2021-10-12|0.66|1
1004|UPC3-Description-3|Latest Week Ending 2021-11-02|3.64|2
1004|UPC3-Description-3|Latest Week Ending 2021-10-26|5.46|3
1004|UPC3-Description-3|Latest Week Ending 2021-10-19|5.46|3
1004|UPC3-Description-3|Latest Week Ending 2021-10-12|3.64|2
1004|UPC4-Description-4|Latest Week Ending 2021-11-09|3.83|1
1004|UPC4-Description-4|Latest Week Ending 2021-11-02|7.66|2
1004|UPC4-Description-4|Latest Week Ending 2021-10-19|3.83|1
1004|UPC4-Description-4|Latest Week Ending 2021-10-12|15.32|4
1004|UPC5-Description-0|Latest Week Ending 2021-11-02|3.1|1
1004|UPC5-Description-0|Latest Week Ending 2021-10-12|6.2|2
1004|UPC6-Description-1|Latest Week Ending 2021-11-09|8.73|3
1004|UPC6-Description-1|Latest Week Ending 2021-11-02|8.73|3
1004|UPC6-Description-1|Latest Week Ending 2021-10-26|11.64|4
1004|UPC6-Description-1|Latest Week Ending 2021-10-19|11.64|4
1004|UPC7-Description-2|Latest Week Ending 2021-11-09|5.02|1
1004|UPC7-Description-2|Latest Week Ending 2021-11-02|15.059999999999999|3
1004|UPC7-Description-2|Latest Week Ending 2021-10-26|20.08|4
1004|UPC7-Description-2|Latest Week Ending 2021-10-19|15.059999999999999|3
1004|UPC7-Description-2|Latest Week Ending 2021-10-12|15.059999999999999|3
1004|UPC8-Description-3|Latest Week Ending 2021-11-09|31.24|4
1004|UPC8-Description-3|Latest Week Ending 2021-11-02|7.81|1
1004|UPC8-Description-3|Latest Week Ending 2021-10-12|31.24|4
1004|UPC9-Description-4|Latest Week Ending 2021-10-19|2.56|1
1004|UPC9-Description-4|Latest Week Ending 2021-10-12|10.24|4
1005|UPC0-Description-0|Latest Week Ending 2021-11-09|0.3|2
1005|UPC0-Description-0|Latest Week Ending 2021-11-02|0.3|2
1005|UPC0-Description-0|Latest Week Ending 2021-10-26|0.3|2
1005|UPC0-Description-0|Latest Week Ending 2021-10-19|0.3|2
1005|UPC0-Description-0|Latest Week Ending 2021-10-12|0.15|1
1005|UPC1-Description-1|Latest Week Ending 2021-11-09|1.58|1
1005|UPC1-Description-1|Latest Week Ending 2021-11-02|6.32|4
1005|UPC1-Description-1|Latest Week Ending 2021-10-26|4.74|3
1005|UPC2-Description-2|Latest Week Ending 2021-11-09|1.32|2
1005|UPC2-Description-2|Latest Week Ending 2021-11-02|1.32|2
1005|UPC2-Description-2|Latest Week Ending 2021-10-26|1.98|3
1005|UPC2-Description-2|Latest Week Ending 2021-10-19|0.66|1
1005|UPC2-Description-2|Latest Week Ending 2021-10-12|0.66|1
1005|UPC3-Description-3|Latest Week Ending 2021-11-09|3.64|2
1005|UPC3-Description-3|Latest Week Ending 2021-10-26|7.28|4
1005|UPC3-Description-3|Latest Week Ending 2021-10-19|3.64|2
1005|UPC4-Description-4|Latest Week Ending 2021-11-09|15.32|4
1005|UPC4-Description-4|Latest Week Ending 2021-11-02|11.49|3
1005|UPC4-Description-4|Latest Week Ending 2021-10-19|7.66|2
1005|UPC4-Description-4|Latest Week Ending 2021-10-12|15.32|4
1005|UPC5-Description-0|Latest Week Ending 2021-11-02|9.3|3
1005|UPC5-Description-0|Latest Week Ending 2021-10-26|9.3|3
1005|UPC5-Description-0|Latest Week Ending 2021-10-19|12.4|4
1005|UPC6-Description-1|Latest Week Ending 2021-11-09|11.64|4
1005|UPC6-Description-1|Latest Week Ending 2021-11-02|11.64|4
1005|UPC6-Description-1|Latest Week Ending 2021-10-19|2.91|1
1005|UPC6-Description-1|Latest Week Ending 2021-10-12|8.73|3
1005|UPC7-Description-2|Latest Week Ending 2021-11-09|10.04|2
1005|UPC7-Description-2|Latest Week Ending 2021-10-26|20.08|4
1005|UPC7-Description-2|Latest Week Ending 2021-10-19|5.02|1
1005|UPC7-Description-2|Latest Week Ending 2021-10-12|20.08|4
1005|UPC8-Description-3|Latest Week Ending 2021-11-09|23.43|3
1005|UPC8-Description-3|Latest Week Ending 2021-11-02|23.43|3
1005|UPC8-Description-3|Latest Week Ending 2021-10-26|31.24|4
1005|UPC9-Description-4|Latest Week Ending 2021-11-02|7.68|3
1005|UPC9-Description-4|Latest Week Ending 2021-10-26|5.12|2
1005|UPC9-Description-4|Latest Week Ending 2021-10-19|5.12|2
1005|UPC9-Description-4|Latest Week Ending 2021-10-12|5.12|2
1006|UPC0-Description-0|Latest Week Ending 2021-11-09|0.3|2
1006|UPC0-Description-0|Latest Week Ending 2021-10-19|0.15|1
1006|UPC0-Description-0|Latest Week Ending 2021-10-12|0.15|1
1006|UPC1-Description-1|Latest Week Ending 2021-11-09|6.32|4
1006|UPC1-Description-1|Latest Week Ending 2021-11-02|6.32|4
1006|UPC1-Description-1|Latest Week Ending 2021-10-19|3.16|2
1006|UPC1-Description-1|Latest Week Ending 2021-10-12|1.58|1
1006|UPC2-Description-2|Latest Week Ending 2021-11-09|2.64|4
